Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
681,2016-12-01 00:21:52,2016-12-01 00:33:14,345,W 13 St & 6 Ave,40.73649403,-73.99704374,417,Barclay St & Church St,40.71291224,-74.01020234,19352,Subscriber,1954,1
1496,2016-12-01 00:22:01,2016-12-01 00:46:58,337,Old Slip & Front St,40.7037992,-74.00838676,441,E 52 St & 2 Ave,40.756014,-73.967416,27010,Subscriber,1990,1
509,2016-12-01 00:22:02,2016-12-01 00:30:31,128,MacDougal St & Prince St,40.72710258,-74.00297088,238,Bank St & Washington St,40.7361967,-74.00859207,25577,Subscriber,1985,1
1652,2016-12-01 00:22:34,2016-12-01 00:50:06,475,E 16 St & Irving Pl,40.73524276,-73.98758561,310,State St & Smith St,40.68926942,-73.98912867,24326,Subscriber,1985,1
313,2016-12-01 00:22:40,2016-12-01 00:27:54,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3265,E 2 St & 2 Ave,40.7245634290432,-73.9894437789917,21364,Subscriber,1987,1
271,2016-12-01 00:23:02,2016-12-01 00:27:33,335,Washington Pl & Broadway,40.72903917,-73.99404649,473,Rivington St & Chrystie St,40.72110063,-73.9919254,23849,Subscriber,1989,1
919,2016-12-01 00:23:18,2016-12-01 00:38:38,224,Spruce St & Nassau St,40.71146364,-74.00552427,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,22729,Subscriber,1984,1
388,2016-12-01 00:23:32,2016-12-01 00:30:00,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,475,E 16 St & Irving Pl,40.73524276,-73.98758561,25996,Subscriber,1983,1
227,2016-12-01 00:23:57,2016-12-01 00:27:44,3105,N 15 St & Wythe Ave,40.724055,-73.955736,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,26448,Subscriber,1981,1
450,2016-12-01 00:25:17,2016-12-01 00:32:48,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,546,E 30 St & Park Ave S,40.74444921,-73.98303529,21231,Subscriber,1944,1
